name,sales
France,60894.0
Spain,2623.0
United States,2204.0
United Kingdom,1959.0
Germany,1577.0
Belgium,1063.0
Switzerland,723.0
Portugal,645.0
"France,fr:Europe",400.0
"Belgium,France",391.0
Australia,266.0
Italy,245.0
Netherlands,179.0
"France,United Kingdom",148.0
Guadeloupe,143.0
Tunisia,140.0
New Zealand,115.0
Poland,110.0
"France,Guadeloupe",104.0
French Guiana,98.0
"France,Germany",95.0
"Denmark,France",91.0
"France,Spain",88.0
"France,Réunion",85.0
Saint Pierre and Miquelon,82.0
Canada,80.0
Brazil,80.0
Réunion,77.0
"France,Switzerland",63.0
Denmark,56.0
"France,French Guiana",51.0
Austria,51.0
Senegal,46.0
"Germany,Spain",44.0
"France,Portugal",40.0
"France,United States",37.0
"France,Italy",37.0
"Australia,New Zealand",33.0
Luxembourg,33.0
"Poland,United Kingdom",33.0
Mexico,28.0
"France,Poland",28.0
"France,Netherlands",28.0
Romania,27.0
"France,Morocco",21.0
Argentina,20.0
South Africa,19.0
"France,Romania",19.0
"Spain,es:Europe",18.0
Thailand,18.0
"Canada,fr:Quebec",17.0
"Belgium,France,Switzerland",17.0
fr:Quebec,17.0
"Portugal,Spain",16.0
"Denmark,Germany",15.0
Qatar,15.0
"Scotland,United Kingdom",15.0
"Guadeloupe,Martinique",15.0
Algeria,14.0
"Italy,Spain",14.0
"France,Luxembourg",13.0
"Australia,Indonesia,United States",12.0
"Czech Republic,France",12.0
"Canada,United States",12.0
"France,Spain,United Kingdom",11.0
"Denmark,France,United Kingdom",11.0
"Germany,Switzerland",11.0
"United Kingdom,United States",11.0
Cuba,11.0
"Belgium,France,Luxembourg",11.0
Hong Kong,11.0
"France,Italy,Spain",10.0
"France,Japan",10.0
"France,Saudi Arabia",10.0
"Denmark,France,Portugal",9.0
"Bulgaria,France",9.0
"French Guiana,Guadeloupe,Martinique",9.0
"France,Mauritius",9.0
Togo,8.0
"France,Greece,Netherlands",8.0
"Denmark,France,Germany",8.0
Greece,8.0
"France,Saint Pierre and Miquelon",8.0
Chile,7.0
Norway,7.0
"Denmark,France,Switzerland",7.0
"Belgium,Netherlands",7.0
Hungary,6.0
Bulgaria,6.0
"France,United Kingdom,United States",6.0
"France,Germany,Spain",6.0
"Egypt,United Kingdom,United States",6.0
"France,Martinique",6.0
"Austria,Germany",5.0
"France,Monaco",5.0
"France,Portugal,Spain",5.0
Singapore,5.0
Burkina Faso,5.0
French Polynesia,5.0
"Algeria,Egypt,Morocco,Qatar,Tunisia,United Arab Emirates",5.0
"Australia,United Kingdom",5.0
Indonesia,5.0
Ireland,5.0
"France,French Polynesia,New Caledonia",5.0
"Belgium,France,Germany",5.0
"France,Norway",4.0
"France,Greece",4.0
"Denmark,Switzerland,United Kingdom",4.0
"Austria,France,Germany,Italy,Switzerland",4.0
"France,New Caledonia",4.0
Finland,4.0
South Korea,4.0
Malta,4.0
"Belgium,France,Netherlands,Switzerland",4.0
India,4.0
Mauritius,4.0
Martinique,4.0
"Australia,France",4.0
Israel,4.0
"United Kingdom,fr:Angleterre",4.0
China,3.0
"Denmark,Réunion",3.0
"Denmark,United Kingdom",3.0
Japan,3.0
"European Union,France",3.0
Serbia,3.0
Kenya,3.0
Lebanon,3.0
"China,France",3.0
Turkey,3.0
"Australia,Belgium,France",3.0
"Germany,United Kingdom",3.0
"France,Serbia",3.0
"France,Sweden",3.0
"Czech Republic,France,Iraq",3.0
Philippines,3.0
United Arab Emirates,3.0
New Caledonia,3.0
"France,Kuwait",3.0
"Belgium,France,Germany,Italy,Netherlands",2.0
Cambodia,2.0
"Denmark,Guadeloupe",2.0
"Belgium,United States",2.0
"Belgium,France,Spain,Switzerland,United Kingdom",2.0
"Denmark,France,Germany,United Kingdom",2.0
"Belgium,Switzerland",2.0
"Belgium,Denmark,France,Germany",2.0
"Lithuania,United Kingdom",2.0
"Australia,United States",2.0
"Albania,Italy",2.0
"France,United Arab Emirates",2.0
Iceland,2.0
"Qatar,Saudi Arabia,United Arab Emirates",2.0
"France,India",2.0
"Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Switzerland,United Kingdom",1.0
"Algeria,France",1.0
"Argentina,France",1.0
"Czech Republic,United Kingdom",1.0
"Belgium,Finland,France,Italy,Spain",1.0
Russia,1.0
Republique-de-chine,1.0
Czech Republic,1.0
"Czech Republic,Denmark,France,Germany",1.0
"Switzerland,United Kingdom",1.0
"Australia,New Zealand,Singapore,Thailand",1.0
Colombia,1.0
"France,Portugal,Spain,United Kingdom",1.0
"Portugal,Spain,United Kingdom",1.0
"Australia,Malaysia",1.0
"Belgium,Portugal",1.0
"Australia,Thailand,United Kingdom",1.0
"Australia,Philippines",1.0
"Belgium,Denmark",1.0
Sweden,1.0
Slovenia,1.0
"Andorra,France",1.0
"France,Tunisia",1.0
"France,Germany,Portugal",1.0
"Morocco,Spain",1.0
"Belgium,France,Netherlands",1.0
"Australia,Czech Republic,France",1.0
"Belgium,France,Germany,Italy,Spain",1.0
"France,Switzerland,United States",1.0
"France,Hungary,United Kingdom",1.0
"Denmark,France,Switzerland,United Kingdom",1.0
"Australia,United Kingdom,United States",1.0
"Denmark,France,Spain",1.0
"Denmark,France,Portugal,Switzerland",1.0
"France,Italy,Netherlands,United Kingdom",1.0
"Belgium,France,United Kingdom",1.0
"Austria,Germany,Spain",0.0
"Australia,France,United Kingdom",0.0
"Belgium,France,Germany,Netherlands,Spain,Switzerland,United Kingdom",0.0
"Andorra,Spain",0.0
"Belgium,France,Greece,Netherlands,Portugal",0.0
"Belgium,France,Hungary,Italy,fr:Quebec",0.0
"Belgium,France,Italy",0.0
"Belgium,France,Italy,Luxembourg,Netherlands,Spain",0.0
"Belgium,France,Germany,Netherlands",0.0
"Belgium,France,Italy,Netherlands,Spain,United Kingdom",0.0
"Australia,Germany,Netherlands",0.0
"Algeria,Belgium,Canada,France,Morocco,Switzerland",0.0
"Albania,Denmark,Italy",0.0
"Austria,France,United Kingdom",0.0
"Austria,France,Germany,Morocco,Netherlands,United Kingdom",0.0
"Belgium,Czech Republic,Denmark,France,Germany,Italy,Netherlands,New Zealand,Spain,Sweden,United Kingdom",0.0
"Austria,France",0.0
"Belgium,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Norway,Spain,Sweden,United Kingdom",0.0
Andorra,0.0
"Belgium,Finland,France,Germany,Greece,Italy,Portugal,Spain",0.0
"Albania,Belgium,France,Germany,Italy,Netherlands,Spain",0.0
"Belgium,Finland,France,Italy,Netherlands,Spain,Sweden",0.0
Belarus,0.0
"Australia,Japan",0.0
"Belgium,France,Germany,Hungary,Italy,Netherlands,Spain",0.0
"Belgium,France,Germany,Hungary,Italy,Netherlands,Spain,United Kingdom",0.0
"Belgium,France,Germany,Hungary,Switzerland",0.0
"Belgium,France,Germany,Ireland,Netherlands,Portugal,Spain,United Kingdom",0.0
"Australia,Indonesia",0.0
"Belgium,France,Italy,Netherlands,Portugal,Spain,United Kingdom",0.0
"France,Germany,Italy",0.0
"Belgium,France,Italy,Spain",0.0
"Germany,Switzerland,United Kingdom",0.0
"France,Ireland,United Kingdom",0.0
"France,Italy,Luxembourg,Netherlands,Spain",0.0
"France,Italy,Serbia,Spain",0.0
"France,Italy,United Kingdom",0.0
"France,Netherlands,Spain,United Kingdom",0.0
"France,Netherlands,Switzerland",0.0
"France,Russia",0.0
"France,Sri Lanka",0.0
"France,Taiwan",0.0
"France,Thailand,United Kingdom",0.0
"Germany,Greece,Spain",0.0
"Germany,Italy",0.0
"Germany,Poland",0.0
"Guadeloupe,Slovenia,United Kingdom",0.0
"Belgium,France,Italy,United Kingdom",0.0
Iran,0.0
Iraq,0.0
Irlande,0.0
"Italy,Romania",0.0
"Japan,日本",0.0
Lithuania,0.0
Mayotte,0.0
Nederland,0.0
"Other-other-日本,Other-日本",0.0
Other-turquie,0.0
Polska,0.0
"Singapore,Thailanda",0.0
Taiwan,0.0
"France,Guadeloupe,Italy,Netherlands,Norway,Sweden,Switzerland,United Kingdom",0.0
"France,Germany,United Kingdom",0.0
"France,Germany,Romania,Scotland,United Kingdom",0.0
"France,Germany,Netherlands,United Kingdom",0.0
"Belgium,France,Luxembourg,Netherlands,United Kingdom",0.0
"Belgium,France,Luxembourg,Switzerland",0.0
"Belgium,France,Netherlands,Spain,United Kingdom",0.0
"Belgium,France,Netherlands,United Kingdom",0.0
"Belgium,France,Spain",0.0
"Belgium,Italy",0.0
"Belgium,fr:Europe",0.0
"Brazil,France",0.0
"Cambodia,Thailand",0.0
"Canada,France",0.0
"Canada,France,Germany,United Kingdom",0.0
"Canada,France,Greece,Netherlands,Spain,United Kingdom,United States",0.0
"China,Hong Kong",0.0
Cyprus,0.0
"Czech Republic,Italy",0.0
C?te d'Ivoire,0.0
"Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Norway,Portugal,Russia,Slovenia,Spain,Sweden,United Kingdom",0.0
"Denmark,France,Spain,United Kingdom",0.0
"Denmark,Italy",0.0
"Denmark,Portugal",0.0
"Denmark,Spain",0.0
"Finland,France",0.0
"Finland,France,Greece,Italy,Spain,Sweden",0.0
"Finland,France,Sweden,United Kingdom",0.0
"Finland,Portugal,Spain,Sweden,United Kingdom",0.0
"France,Germany,Greece,Sweden,United Kingdom",0.0
Venezuela,0.0
Albania,0.0
